301,500,heart_rate
302,1500,heart_rate respiration ecg
303,500,heart_rate
304,1500,heart_rate respiration ecg
305,500,heart_rate
306,1500,heart_rate respiration ecg
307,500,heart_rate
308,1500,heart_rate respiration ecg
309,500,heart_rate
310,2500,heart_rate oxygen_level blood_sugar respiration ecg
311,500,heart_rate
312,1500,heart_rate respiration ecg
313,500,heart_rate
314,1500,heart_rate respiration ecg
315,500,heart_rate
316,1500,heart_rate respiration ecg
317,500,heart_rate
318,1500,heart_rate respiration ecg
319,500,heart_rate
320,2500,heart_rate oxygen_level blood_sugar respiration ecg
321,500,heart_rate
322,1500,heart_rate respiration ecg
323,500,heart_rate
324,1500,heart_rate respiration ecg
325,500,heart_rate
326,1500,heart_rate respiration ecg
327,500,heart_rate
328,1500,heart_rate respiration ecg
329,500,heart_rate
330,2500,heart_rate oxygen_level blood_sugar respiration ecg
331,500,heart_rate
332,1500,heart_rate respiration ecg
333,500,heart_rate
334,1500,heart_rate respiration ecg
335,500,heart_rate
336,1500,heart_rate respiration ecg
337,500,heart_rate
338,1500,heart_rate respiration ecg
339,500,heart_rate
340,2500,heart_rate oxygen_level blood_sugar respiration ecg
341,500,heart_rate
342,1500,heart_rate respiration ecg
343,500,heart_rate
344,1500,heart_rate respiration ecg
345,500,heart_rate
346,1500,heart_rate respiration ecg
347,500,heart_rate
348,1500,heart_rate respiration ecg
349,500,heart_rate
350,2500,heart_rate oxygen_level blood_sugar respiration ecg
351,500,heart_rate
352,1500,heart_rate respiration ecg
353,500,heart_rate
354,1500,heart_rate respiration ecg
355,500,heart_rate
356,1500,heart_rate respiration ecg
357,500,heart_rate
358,1500,heart_rate respiration ecg
359,500,heart_rate
360,2500,heart_rate oxygen_level blood_sugar respiration ecg
361,500,heart_rate
362,1500,heart_rate respiration ecg
363,500,heart_rate
364,1500,heart_rate respiration ecg
365,500,heart_rate
366,1500,heart_rate respiration ecg
367,500,heart_rate
368,1500,heart_rate respiration ecg
369,500,heart_rate
370,2500,heart_rate oxygen_level blood_sugar respiration ecg
371,500,heart_rate
372,1500,heart_rate respiration ecg
373,500,heart_rate
374,1500,heart_rate respiration ecg
375,500,heart_rate
376,1500,heart_rate respiration ecg
377,500,heart_rate
378,1500,heart_rate respiration ecg
379,500,heart_rate
380,2500,heart_rate oxygen_level blood_sugar respiration ecg
381,500,heart_rate
382,1500,heart_rate respiration ecg
383,500,heart_rate
384,1500,heart_rate respiration ecg
385,500,heart_rate
386,1500,heart_rate respiration ecg
387,500,heart_rate
388,1500,heart_rate respiration ecg
389,500,heart_rate
390,2500,heart_rate oxygen_level blood_sugar respiration ecg
391,500,heart_rate
392,1500,heart_rate respiration ecg
393,500,heart_rate
394,1500,heart_rate respiration ecg
395,500,heart_rate
396,1500,heart_rate respiration ecg
397,500,heart_rate
398,1500,heart_rate respiration ecg
399,500,heart_rate
400,2500,heart_rate oxygen_level blood_sugar respiration ecg
401,500,heart_rate
402,1500,heart_rate respiration ecg
403,500,heart_rate
404,1500,heart_rate respiration ecg
405,500,heart_rate
406,1500,heart_rate respiration ecg
407,500,heart_rate
408,1500,heart_rate respiration ecg
409,500,heart_rate
410,2500,heart_rate oxygen_level blood_sugar respiration ecg
411,500,heart_rate
412,1500,heart_rate respiration ecg
413,500,heart_rate
414,1500,heart_rate respiration ecg
415,500,heart_rate
416,1500,heart_rate respiration ecg
417,500,heart_rate
418,1500,heart_rate respiration ecg
419,500,heart_rate
420,2500,heart_rate oxygen_level blood_sugar respiration ecg
421,500,heart_rate
422,1500,heart_rate respiration ecg
423,500,heart_rate
424,1500,heart_rate respiration ecg
425,500,heart_rate
426,1500,heart_rate respiration ecg
427,500,heart_rate
428,1500,heart_rate respiration ecg
429,500,heart_rate
430,2500,heart_rate oxygen_level blood_sugar respiration ecg
431,500,heart_rate
432,1500,heart_rate respiration ecg
433,500,heart_rate
434,1500,heart_rate respiration ecg
435,500,heart_rate
436,1500,heart_rate respiration ecg
437,500,heart_rate
438,1500,heart_rate respiration ecg
439,500,heart_rate
440,2500,heart_rate oxygen_level blood_sugar respiration ecg
441,500,heart_rate
442,1500,heart_rate respiration ecg
443,500,heart_rate
444,1500,heart_rate respiration ecg
445,500,heart_rate
446,1500,heart_rate respiration ecg
447,500,heart_rate
448,1500,heart_rate respiration ecg
449,500,heart_rate
450,2500,heart_rate oxygen_level blood_sugar respiration ecg
451,500,heart_rate
452,1500,heart_rate respiration ecg
453,500,heart_rate
454,1500,heart_rate respiration ecg
455,500,heart_rate
456,1500,heart_rate respiration ecg
457,500,heart_rate
458,1500,heart_rate respiration ecg
